"date","count"
2020-01-22,1
2020-01-23,1
2020-01-24,3
2020-01-25,3
2020-01-26,4
2020-01-27,5
2020-01-28,8
2020-01-29,8
2020-01-30,9
2020-01-31,10
2020-02-01,10
2020-02-02,10
2020-02-03,10
2020-02-04,11
2020-02-05,11
2020-02-06,16
2020-02-07,16
2020-02-08,17
2020-02-09,18
2020-02-10,18
2020-02-11,18
2020-02-12,18
2020-02-13,18
2020-02-14,18
2020-02-15,18
2020-02-16,20
2020-02-17,22
2020-02-18,22
2020-02-19,23
2020-02-20,24
2020-02-21,26
2020-02-22,26
2020-02-23,28
2020-02-24,30
2020-02-25,31
2020-02-26,32
2020-02-27,32
2020-02-28,34
2020-02-29,39
2020-03-01,40
2020-03-02,41
2020-03-03,42
2020-03-04,42
2020-03-05,44
2020-03-06,45
2020-03-07,45
2020-03-08,45
2020-03-09,45
2020-03-10,47
2020-03-11,48
2020-03-12,49
2020-03-13,50
2020-03-14,53
2020-03-15,59
2020-03-16,67
2020-03-17,77
2020-03-18,100
2020-03-19,108
