"date","count"
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,4
2020-01-30,4
2020-01-31,4
2020-02-01,4
2020-02-02,5
2020-02-03,5
2020-02-04,5
2020-02-05,5
2020-02-06,5
2020-02-07,5
2020-02-08,7
2020-02-09,7
2020-02-10,8
2020-02-11,8
2020-02-12,8
2020-02-13,8
2020-02-14,8
2020-02-15,8
2020-02-16,9
2020-02-17,9
2020-02-18,9
2020-02-19,9
2020-02-20,9
2020-02-21,9
2020-02-22,13
2020-02-23,13
2020-02-24,13
2020-02-25,13
2020-02-26,13
2020-02-27,13
2020-02-28,19
2020-02-29,21
2020-03-01,21
2020-03-02,21
2020-03-03,27
2020-03-04,27
2020-03-05,29
2020-03-06,29
2020-03-07,45
2020-03-08,45
2020-03-09,45
2020-03-10,74
2020-03-11,74
2020-03-12,85
2020-03-13,85
2020-03-14,85
2020-03-15,98
2020-03-16,98
2020-03-17,98
2020-03-18,113
2020-03-19,140
