"date","count"
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,2
2020-02-01,2
2020-02-02,2
2020-02-03,2
2020-02-04,2
2020-02-05,2
2020-02-06,2
2020-02-07,3
2020-02-08,3
2020-02-09,3
2020-02-10,8
2020-02-11,8
2020-02-12,9
2020-02-13,9
2020-02-14,9
2020-02-15,9
2020-02-16,9
2020-02-17,9
2020-02-18,9
2020-02-19,9
2020-02-20,9
2020-02-21,9
2020-02-22,9
2020-02-23,9
2020-02-24,13
2020-02-25,13
2020-02-26,13
2020-02-27,15
2020-02-28,20
2020-02-29,23
2020-03-01,36
2020-03-02,40
2020-03-03,51
2020-03-04,86
2020-03-05,116
2020-03-06,164
2020-03-07,207
2020-03-08,274
2020-03-09,322
2020-03-10,384
2020-03-11,459
2020-03-12,459
2020-03-13,802
2020-03-14,1144
2020-03-15,1145
2020-03-16,1551
2020-03-17,1960
2020-03-18,2642
2020-03-19,2716
