"date","count"
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,4
2020-01-27,5
2020-01-28,5
2020-01-29,6
2020-01-30,9
2020-01-31,9
2020-02-01,12
2020-02-02,12
2020-02-03,12
2020-02-04,13
2020-02-05,13
2020-02-06,14
2020-02-07,15
2020-02-08,15
2020-02-09,15
2020-02-10,15
2020-02-11,15
2020-02-12,15
2020-02-13,15
2020-02-14,15
2020-02-15,15
2020-02-16,15
2020-02-17,15
2020-02-18,15
2020-02-19,15
2020-02-20,15
2020-02-21,19
2020-02-22,22
2020-02-23,22
2020-02-24,22
2020-02-25,22
2020-02-26,22
2020-02-27,23
2020-02-28,23
2020-02-29,25
2020-03-01,27
2020-03-02,30
2020-03-03,39
2020-03-04,52
2020-03-05,55
2020-03-06,60
2020-03-07,63
2020-03-08,76
2020-03-09,91
2020-03-10,107
2020-03-11,128
2020-03-12,128
2020-03-13,200
2020-03-14,250
2020-03-15,297
2020-03-16,377
2020-03-17,452
2020-03-18,568
2020-03-19,681
2020-03-20,791
2020-03-21,1071
2020-03-22,1314
