"date","count"
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,1
2020-02-25,23
2020-02-26,33
2020-02-27,33
2020-02-28,36
2020-02-29,41
2020-03-01,47
2020-03-02,49
2020-03-03,49
2020-03-04,52
2020-03-05,55
2020-03-06,60
2020-03-07,85
2020-03-08,85
2020-03-09,95
2020-03-10,110
2020-03-11,195
2020-03-12,195
2020-03-13,189
2020-03-14,210
2020-03-15,214
2020-03-16,214
2020-03-17,228
2020-03-18,256
2020-03-19,278
