"date","count"
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,1
2020-01-27,1
2020-01-28,2
2020-01-29,2
2020-01-30,2
2020-01-31,4
2020-02-01,4
2020-02-02,4
2020-02-03,4
2020-02-04,4
2020-02-05,5
2020-02-06,5
2020-02-07,7
2020-02-08,7
2020-02-09,7
2020-02-10,7
2020-02-11,7
2020-02-12,7
2020-02-13,7
2020-02-14,7
2020-02-15,7
2020-02-16,7
2020-02-17,8
2020-02-18,8
2020-02-19,8
2020-02-20,8
2020-02-21,9
2020-02-22,9
2020-02-23,9
2020-02-24,10
2020-02-25,11
2020-02-26,11
2020-02-27,13
2020-02-28,14
2020-02-29,20
2020-03-01,24
2020-03-02,27
2020-03-03,30
2020-03-04,33
2020-03-05,37
2020-03-06,49
2020-03-07,54
2020-03-08,64
2020-03-09,77
2020-03-10,79
2020-03-11,108
2020-03-12,117
2020-03-13,193
2020-03-14,198
2020-03-15,252
2020-03-16,415
2020-03-17,478
2020-03-18,657
2020-03-19,800
