"date","count","reporting"
2020-01-22,0,"Alberta"
2020-01-23,0,"Alberta"
2020-01-24,0,"Alberta"
2020-01-25,0,"Alberta"
2020-01-26,0,"Alberta"
2020-01-27,0,"Alberta"
2020-01-28,0,"Alberta"
2020-01-29,0,"Alberta"
2020-01-30,0,"Alberta"
2020-01-31,0,"Alberta"
2020-02-01,0,"Alberta"
2020-02-02,0,"Alberta"
2020-02-03,0,"Alberta"
2020-02-04,0,"Alberta"
2020-02-05,0,"Alberta"
2020-02-06,0,"Alberta"
2020-02-07,0,"Alberta"
2020-02-08,0,"Alberta"
2020-02-09,0,"Alberta"
2020-02-10,0,"Alberta"
2020-02-11,0,"Alberta"
2020-02-12,0,"Alberta"
2020-02-13,0,"Alberta"
2020-02-14,0,"Alberta"
2020-02-15,0,"Alberta"
2020-02-16,0,"Alberta"
2020-02-17,0,"Alberta"
2020-02-18,0,"Alberta"
2020-02-19,0,"Alberta"
2020-02-20,0,"Alberta"
2020-02-21,0,"Alberta"
2020-02-22,0,"Alberta"
2020-02-23,0,"Alberta"
2020-02-24,0,"Alberta"
2020-02-25,0,"Alberta"
2020-02-26,0,"Alberta"
2020-02-27,0,"Alberta"
2020-02-28,0,"Alberta"
2020-02-29,0,"Alberta"
2020-03-01,0,"Alberta"
2020-03-02,0,"Alberta"
2020-03-03,0,"Alberta"
2020-03-04,0,"Alberta"
2020-03-05,0,"Alberta"
2020-03-06,1,"Alberta"
2020-03-07,2,"Alberta"
2020-03-08,4,"Alberta"
2020-03-09,7,"Alberta"
2020-03-10,7,"Alberta"
2020-03-11,19,"Alberta"
2020-03-12,19,"Alberta"
2020-03-13,29,"Alberta"
2020-03-14,29,"Alberta"
2020-03-15,39,"Alberta"
2020-03-16,56,"Alberta"
2020-03-17,74,"Alberta"
2020-03-18,97,"Alberta"
2020-03-19,119,"Alberta"
2020-03-20,146,"Alberta"
2020-03-21,195,"Alberta"
2020-03-22,259,"Alberta"
2020-01-22,0,"British Columbia"
2020-01-23,0,"British Columbia"
2020-01-24,0,"British Columbia"
2020-01-25,0,"British Columbia"
2020-01-26,0,"British Columbia"
2020-01-27,0,"British Columbia"
2020-01-28,1,"British Columbia"
2020-01-29,1,"British Columbia"
2020-01-30,1,"British Columbia"
2020-01-31,1,"British Columbia"
2020-02-01,1,"British Columbia"
2020-02-02,1,"British Columbia"
2020-02-03,1,"British Columbia"
2020-02-04,1,"British Columbia"
2020-02-05,2,"British Columbia"
2020-02-06,2,"British Columbia"
2020-02-07,4,"British Columbia"
2020-02-08,4,"British Columbia"
2020-02-09,4,"British Columbia"
2020-02-10,4,"British Columbia"
2020-02-11,4,"British Columbia"
2020-02-12,4,"British Columbia"
2020-02-13,4,"British Columbia"
2020-02-14,4,"British Columbia"
2020-02-15,4,"British Columbia"
2020-02-16,4,"British Columbia"
2020-02-17,5,"British Columbia"
2020-02-18,5,"British Columbia"
2020-02-19,5,"British Columbia"
2020-02-20,5,"British Columbia"
2020-02-21,6,"British Columbia"
2020-02-22,6,"British Columbia"
2020-02-23,6,"British Columbia"
2020-02-24,6,"British Columbia"
2020-02-25,7,"British Columbia"
2020-02-26,7,"British Columbia"
2020-02-27,7,"British Columbia"
2020-02-28,7,"British Columbia"
2020-02-29,8,"British Columbia"
2020-03-01,8,"British Columbia"
2020-03-02,8,"British Columbia"
2020-03-03,9,"British Columbia"
2020-03-04,12,"British Columbia"
2020-03-05,13,"British Columbia"
2020-03-06,21,"British Columbia"
2020-03-07,21,"British Columbia"
2020-03-08,27,"British Columbia"
2020-03-09,32,"British Columbia"
2020-03-10,32,"British Columbia"
2020-03-11,39,"British Columbia"
2020-03-12,46,"British Columbia"
2020-03-13,64,"British Columbia"
2020-03-14,64,"British Columbia"
2020-03-15,73,"British Columbia"
2020-03-16,103,"British Columbia"
2020-03-17,103,"British Columbia"
2020-03-18,186,"British Columbia"
2020-03-19,231,"British Columbia"
2020-03-20,271,"British Columbia"
2020-03-21,424,"British Columbia"
2020-03-22,424,"British Columbia"
2020-01-22,0,"Grand Princess"
2020-01-23,0,"Grand Princess"
2020-01-24,0,"Grand Princess"
2020-01-25,0,"Grand Princess"
2020-01-26,0,"Grand Princess"
2020-01-27,0,"Grand Princess"
2020-01-28,0,"Grand Princess"
2020-01-29,0,"Grand Princess"
2020-01-30,0,"Grand Princess"
2020-01-31,0,"Grand Princess"
2020-02-01,0,"Grand Princess"
2020-02-02,0,"Grand Princess"
2020-02-03,0,"Grand Princess"
2020-02-04,0,"Grand Princess"
2020-02-05,0,"Grand Princess"
2020-02-06,0,"Grand Princess"
2020-02-07,0,"Grand Princess"
2020-02-08,0,"Grand Princess"
2020-02-09,0,"Grand Princess"
2020-02-10,0,"Grand Princess"
2020-02-11,0,"Grand Princess"
2020-02-12,0,"Grand Princess"
2020-02-13,0,"Grand Princess"
2020-02-14,0,"Grand Princess"
2020-02-15,0,"Grand Princess"
2020-02-16,0,"Grand Princess"
2020-02-17,0,"Grand Princess"
2020-02-18,0,"Grand Princess"
2020-02-19,0,"Grand Princess"
2020-02-20,0,"Grand Princess"
2020-02-21,0,"Grand Princess"
2020-02-22,0,"Grand Princess"
2020-02-23,0,"Grand Princess"
2020-02-24,0,"Grand Princess"
2020-02-25,0,"Grand Princess"
2020-02-26,0,"Grand Princess"
2020-02-27,0,"Grand Princess"
2020-02-28,0,"Grand Princess"
2020-02-29,0,"Grand Princess"
2020-03-01,0,"Grand Princess"
2020-03-02,0,"Grand Princess"
2020-03-03,0,"Grand Princess"
2020-03-04,0,"Grand Princess"
