"date","count"
2020-01-22,548
2020-01-23,643
2020-01-24,920
2020-01-25,1406
2020-01-26,2075
2020-01-27,2877
2020-01-28,5509
2020-01-29,6087
2020-01-30,8141
2020-01-31,9802
2020-02-01,11891
2020-02-02,16630
2020-02-03,19716
2020-02-04,23707
2020-02-05,27440
2020-02-06,30587
2020-02-07,34110
2020-02-08,36814
2020-02-09,39829
2020-02-10,42354
2020-02-11,44386
2020-02-12,44759
2020-02-13,59895
2020-02-14,66358
2020-02-15,68413
2020-02-16,70513
2020-02-17,72434
2020-02-18,74211
2020-02-19,74619
2020-02-20,75077
2020-02-21,75550
2020-02-22,77001
2020-02-23,77022
2020-02-24,77241
2020-02-25,77754
2020-02-26,78166
2020-02-27,78600
2020-02-28,78928
2020-02-29,79356
2020-03-01,79932
2020-03-02,80136
2020-03-03,80261
2020-03-04,80386
2020-03-05,80537
2020-03-06,80690
2020-03-07,80770
2020-03-08,80823
2020-03-09,80860
2020-03-10,80887
2020-03-11,80921
2020-03-12,80932
2020-03-13,80945
2020-03-14,80977
2020-03-15,81003
2020-03-16,81033
2020-03-17,81058
2020-03-18,81102
2020-03-19,81156
2020-03-20,81250
2020-03-21,81305
2020-03-22,81397
2020-03-23,81439
