"date","count","reporting"
2020-01-22,0,"Diamond Princess"
2020-01-23,0,"Diamond Princess"
2020-01-24,0,"Diamond Princess"
2020-01-25,0,"Diamond Princess"
2020-01-26,0,"Diamond Princess"
2020-01-27,0,"Diamond Princess"
2020-01-28,0,"Diamond Princess"
2020-01-29,0,"Diamond Princess"
2020-01-30,0,"Diamond Princess"
2020-01-31,0,"Diamond Princess"
2020-02-01,0,"Diamond Princess"
2020-02-02,0,"Diamond Princess"
2020-02-03,0,"Diamond Princess"
2020-02-04,0,"Diamond Princess"
2020-02-05,0,"Diamond Princess"
2020-02-06,0,"Diamond Princess"
2020-02-07,61,"Diamond Princess"
2020-02-08,61,"Diamond Princess"
2020-02-09,64,"Diamond Princess"
2020-02-10,135,"Diamond Princess"
2020-02-11,135,"Diamond Princess"
2020-02-12,175,"Diamond Princess"
2020-02-13,175,"Diamond Princess"
2020-02-14,218,"Diamond Princess"
2020-02-15,285,"Diamond Princess"
2020-02-16,355,"Diamond Princess"
2020-02-17,454,"Diamond Princess"
2020-02-18,542,"Diamond Princess"
2020-02-19,621,"Diamond Princess"
2020-02-20,634,"Diamond Princess"
2020-02-21,634,"Diamond Princess"
2020-02-22,634,"Diamond Princess"
2020-02-23,691,"Diamond Princess"
2020-02-24,691,"Diamond Princess"
2020-02-25,691,"Diamond Princess"
2020-02-26,705,"Diamond Princess"
2020-02-27,705,"Diamond Princess"
2020-02-28,705,"Diamond Princess"
2020-02-29,705,"Diamond Princess"
2020-03-01,705,"Diamond Princess"
2020-03-02,705,"Diamond Princess"
2020-03-03,706,"Diamond Princess"
2020-03-04,706,"Diamond Princess"
2020-03-05,706,"Diamond Princess"
2020-03-06,696,"Diamond Princess"
2020-03-07,696,"Diamond Princess"
2020-03-08,696,"Diamond Princess"
2020-03-09,696,"Diamond Princess"
2020-03-10,696,"Diamond Princess"
2020-03-11,696,"Diamond Princess"
2020-03-12,696,"Diamond Princess"
2020-03-13,696,"Diamond Princess"
2020-03-14,696,"Diamond Princess"
2020-03-15,696,"Diamond Princess"
2020-03-16,696,"Diamond Princess"
2020-03-17,696,"Diamond Princess"
2020-03-18,712,"Diamond Princess"
2020-03-19,712,"Diamond Princess"
2020-03-20,712,"Diamond Princess"
2020-03-21,712,"Diamond Princess"
2020-03-22,712,"Diamond Princess"
2020-03-23,712,"Diamond Princess"
