"date","count"
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,1
2020-02-28,1
2020-02-29,3
2020-03-01,4
2020-03-02,4
2020-03-03,6
2020-03-04,11
2020-03-05,11
2020-03-06,24
2020-03-07,24
2020-03-08,37
2020-03-09,92
2020-03-10,264
2020-03-11,444
2020-03-12,617
2020-03-13,804
2020-03-14,836
2020-03-15,875
2020-03-16,933
2020-03-17,1025
2020-03-18,1116
2020-03-19,1225
2020-03-20,1337
2020-03-21,1420
2020-03-22,1514
