"date","count","reporting"
2020-01-22,0,"Denmark"
2020-01-23,0,"Denmark"
2020-01-24,0,"Denmark"
2020-01-25,0,"Denmark"
2020-01-26,0,"Denmark"
2020-01-27,0,"Denmark"
2020-01-28,0,"Denmark"
2020-01-29,0,"Denmark"
2020-01-30,0,"Denmark"
2020-01-31,0,"Denmark"
2020-02-01,0,"Denmark"
2020-02-02,0,"Denmark"
2020-02-03,0,"Denmark"
2020-02-04,0,"Denmark"
2020-02-05,0,"Denmark"
2020-02-06,0,"Denmark"
2020-02-07,0,"Denmark"
2020-02-08,0,"Denmark"
2020-02-09,0,"Denmark"
2020-02-10,0,"Denmark"
2020-02-11,0,"Denmark"
2020-02-12,0,"Denmark"
2020-02-13,0,"Denmark"
2020-02-14,0,"Denmark"
2020-02-15,0,"Denmark"
2020-02-16,0,"Denmark"
2020-02-17,0,"Denmark"
2020-02-18,0,"Denmark"
2020-02-19,0,"Denmark"
2020-02-20,0,"Denmark"
2020-02-21,0,"Denmark"
2020-02-22,0,"Denmark"
2020-02-23,0,"Denmark"
2020-02-24,0,"Denmark"
2020-02-25,0,"Denmark"
2020-02-26,0,"Denmark"
2020-02-27,1,"Denmark"
2020-02-28,1,"Denmark"
2020-02-29,3,"Denmark"
2020-03-01,4,"Denmark"
2020-03-02,4,"Denmark"
2020-03-03,6,"Denmark"
2020-03-04,10,"Denmark"
2020-03-05,10,"Denmark"
2020-03-06,23,"Denmark"
2020-03-07,23,"Denmark"
2020-03-08,35,"Denmark"
2020-03-09,90,"Denmark"
2020-03-10,262,"Denmark"
2020-03-11,442,"Denmark"
2020-03-12,615,"Denmark"
2020-03-13,801,"Denmark"
2020-03-14,827,"Denmark"
2020-03-15,864,"Denmark"
2020-03-16,914,"Denmark"
2020-03-17,977,"Denmark"
2020-03-18,1057,"Denmark"
2020-03-19,1151,"Denmark"
2020-03-20,1255,"Denmark"
2020-03-21,1326,"Denmark"
2020-01-22,0,"Faroe Islands"
2020-01-23,0,"Faroe Islands"
2020-01-24,0,"Faroe Islands"
2020-01-25,0,"Faroe Islands"
