"date","count"
2020-01-22,0
2020-01-23,0
2020-01-24,2
2020-01-25,3
2020-01-26,3
2020-01-27,3
2020-01-28,4
2020-01-29,5
2020-01-30,5
2020-01-31,5
2020-02-01,6
2020-02-02,6
2020-02-03,6
2020-02-04,6
2020-02-05,6
2020-02-06,6
2020-02-07,6
2020-02-08,11
2020-02-09,11
2020-02-10,11
2020-02-11,11
2020-02-12,11
2020-02-13,11
2020-02-14,11
2020-02-15,12
2020-02-16,12
2020-02-17,12
2020-02-18,12
2020-02-19,12
2020-02-20,12
2020-02-21,12
2020-02-22,12
2020-02-23,12
2020-02-24,12
2020-02-25,14
2020-02-26,18
2020-02-27,38
2020-02-28,57
2020-02-29,100
2020-03-01,130
2020-03-02,191
2020-03-03,204
2020-03-04,288
2020-03-05,380
2020-03-06,656
2020-03-07,957
2020-03-08,1134
2020-03-09,1217
2020-03-10,1792
2020-03-11,2290
2020-03-12,2290
2020-03-13,3678
2020-03-14,4487
2020-03-15,4523
2020-03-16,6668
2020-03-17,7699
2020-03-18,9105
2020-03-19,10947
2020-03-20,12726
2020-03-21,14431
2020-03-22,16176
