"date","count","reporting"
2020-01-22,0,"France"
2020-01-23,0,"France"
2020-01-24,2,"France"
2020-01-25,3,"France"
2020-01-26,3,"France"
2020-01-27,3,"France"
2020-01-28,4,"France"
2020-01-29,5,"France"
2020-01-30,5,"France"
2020-01-31,5,"France"
2020-02-01,6,"France"
2020-02-02,6,"France"
2020-02-03,6,"France"
2020-02-04,6,"France"
2020-02-05,6,"France"
2020-02-06,6,"France"
2020-02-07,6,"France"
2020-02-08,11,"France"
2020-02-09,11,"France"
2020-02-10,11,"France"
2020-02-11,11,"France"
2020-02-12,11,"France"
2020-02-13,11,"France"
2020-02-14,11,"France"
2020-02-15,12,"France"
2020-02-16,12,"France"
2020-02-17,12,"France"
2020-02-18,12,"France"
2020-02-19,12,"France"
2020-02-20,12,"France"
2020-02-21,12,"France"
2020-02-22,12,"France"
2020-02-23,12,"France"
2020-02-24,12,"France"
2020-02-25,14,"France"
2020-02-26,18,"France"
2020-02-27,38,"France"
2020-02-28,57,"France"
2020-02-29,100,"France"
2020-03-01,130,"France"
2020-03-02,191,"France"
2020-03-03,204,"France"
2020-03-04,285,"France"
2020-03-05,377,"France"
2020-03-06,653,"France"
2020-03-07,949,"France"
2020-03-08,1126,"France"
2020-03-09,1209,"France"
2020-03-10,1784,"France"
2020-03-11,2281,"France"
2020-03-12,2281,"France"
2020-03-13,3661,"France"
2020-03-14,4469,"France"
2020-03-15,4499,"France"
2020-03-16,6633,"France"
2020-03-17,7652,"France"
2020-03-18,9043,"France"
2020-03-19,10871,"France"
2020-01-22,0,"French Guiana"
2020-01-23,0,"French Guiana"
2020-01-24,0,"French Guiana"
2020-01-25,0,"French Guiana"
2020-01-26,0,"French Guiana"
2020-01-27,0,"French Guiana"
2020-01-28,0,"French Guiana"
2020-01-29,0,"French Guiana"
2020-01-30,0,"French Guiana"
2020-01-31,0,"French Guiana"
2020-02-01,0,"French Guiana"
2020-02-02,0,"French Guiana"
2020-02-03,0,"French Guiana"
2020-02-04,0,"French Guiana"
2020-02-05,0,"French Guiana"
2020-02-06,0,"French Guiana"
2020-02-07,0,"French Guiana"
2020-02-08,0,"French Guiana"
2020-02-09,0,"French Guiana"
2020-02-10,0,"French Guiana"
2020-02-11,0,"French Guiana"
2020-02-12,0,"French Guiana"
2020-02-13,0,"French Guiana"
