"date","count"
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,1
2020-01-28,4
2020-01-29,4
2020-01-30,4
2020-01-31,5
2020-02-01,8
2020-02-02,10
2020-02-03,12
2020-02-04,12
2020-02-05,12
2020-02-06,12
2020-02-07,13
2020-02-08,13
2020-02-09,14
2020-02-10,14
2020-02-11,16
2020-02-12,16
2020-02-13,16
2020-02-14,16
2020-02-15,16
2020-02-16,16
2020-02-17,16
2020-02-18,16
2020-02-19,16
2020-02-20,16
2020-02-21,16
2020-02-22,16
2020-02-23,16
2020-02-24,16
2020-02-25,17
2020-02-26,27
2020-02-27,46
2020-02-28,48
2020-02-29,79
2020-03-01,130
2020-03-02,159
2020-03-03,196
2020-03-04,262
2020-03-05,482
2020-03-06,670
2020-03-07,799
2020-03-08,1040
2020-03-09,1176
2020-03-10,1457
2020-03-11,1908
2020-03-12,2078
2020-03-13,3675
2020-03-14,4585
2020-03-15,5795
2020-03-16,7272
2020-03-17,9257
2020-03-18,12327
2020-03-19,15320
2020-03-20,19848
