"date","count"
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,2
2020-02-20,5
2020-02-21,18
2020-02-22,28
2020-02-23,43
2020-02-24,61
2020-02-25,95
2020-02-26,139
2020-02-27,245
2020-02-28,388
2020-02-29,593
2020-03-01,978
2020-03-02,1501
2020-03-03,2336
2020-03-04,2922
2020-03-05,3513
2020-03-06,4747
2020-03-07,5823
2020-03-08,6566
2020-03-09,7161
2020-03-10,8042
2020-03-11,9000
2020-03-12,10075
2020-03-13,11364
2020-03-14,12729
2020-03-15,13938
2020-03-16,14991
2020-03-17,16169
2020-03-18,17361
2020-03-19,18407
2020-03-20,19644
2020-03-21,20610
