"date","count"
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,2
2020-02-01,2
2020-02-02,2
2020-02-03,2
2020-02-04,2
2020-02-05,2
2020-02-06,2
2020-02-07,3
2020-02-08,3
2020-02-09,3
2020-02-10,3
2020-02-11,3
2020-02-12,3
2020-02-13,3
2020-02-14,3
2020-02-15,3
2020-02-16,3
2020-02-17,3
2020-02-18,3
2020-02-19,3
2020-02-20,3
2020-02-21,20
2020-02-22,62
2020-02-23,155
2020-02-24,229
2020-02-25,322
2020-02-26,453
2020-02-27,655
2020-02-28,888
2020-02-29,1128
2020-03-01,1694
2020-03-02,2036
2020-03-03,2502
2020-03-04,3089
2020-03-05,3858
2020-03-06,4636
2020-03-07,5883
2020-03-08,7375
2020-03-09,9172
2020-03-10,10149
2020-03-11,12462
2020-03-12,12462
2020-03-13,17660
2020-03-14,21157
2020-03-15,24747
2020-03-16,27980
2020-03-17,31506
2020-03-18,35713
2020-03-19,41035
2020-03-20,47021
2020-03-21,53578
2020-03-22,59138
2020-03-23,59138
