"date","count"
2020-01-22,2
2020-01-23,1
2020-01-24,2
2020-01-25,2
2020-01-26,4
2020-01-27,4
2020-01-28,7
2020-01-29,7
2020-01-30,11
2020-01-31,15
2020-02-01,20
2020-02-02,20
2020-02-03,20
2020-02-04,22
2020-02-05,22
2020-02-06,45
2020-02-07,25
2020-02-08,25
2020-02-09,26
2020-02-10,26
2020-02-11,26
2020-02-12,28
2020-02-13,28
2020-02-14,29
2020-02-15,43
2020-02-16,59
2020-02-17,66
2020-02-18,74
2020-02-19,84
2020-02-20,94
2020-02-21,105
2020-02-22,122
2020-02-23,147
2020-02-24,159
2020-02-25,170
2020-02-26,189
2020-02-27,214
2020-02-28,228
2020-02-29,241
2020-03-01,256
2020-03-02,274
2020-03-03,293
2020-03-04,331
2020-03-05,360
2020-03-06,420
2020-03-07,461
2020-03-08,502
2020-03-09,511
2020-03-10,581
2020-03-11,639
2020-03-12,639
2020-03-13,701
2020-03-14,773
2020-03-15,839
2020-03-16,825
2020-03-17,878
2020-03-18,889
2020-03-19,924
2020-03-20,963
