"date","count"
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,1
2020-02-29,4
2020-03-01,5
2020-03-02,5
2020-03-03,5
2020-03-04,5
2020-03-05,5
2020-03-06,6
2020-03-07,6
2020-03-08,7
2020-03-09,7
2020-03-10,7
2020-03-11,8
2020-03-12,12
2020-03-13,12
2020-03-14,26
2020-03-15,41
2020-03-16,53
2020-03-17,82
2020-03-18,93
2020-03-19,118
2020-03-20,164
2020-03-21,203
2020-03-22,251
2020-03-23,251
