"date","count"
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,1
2020-02-27,1
2020-02-28,6
2020-02-29,15
2020-03-01,19
2020-03-02,25
2020-03-03,32
2020-03-04,56
2020-03-05,87
2020-03-06,108
2020-03-07,147
2020-03-08,176
2020-03-09,205
2020-03-10,400
2020-03-11,598
2020-03-12,702
2020-03-13,996
2020-03-14,1090
2020-03-15,1221
2020-03-16,1333
2020-03-17,1463
2020-03-18,1550
2020-03-19,1746
2020-03-20,1914
