"date","count"
2020-01-22,1
2020-01-23,1
2020-01-24,2
2020-01-25,2
2020-01-26,5
2020-01-27,5
2020-01-28,5
2020-01-29,5
2020-01-30,5
2020-01-31,7
2020-02-01,8
2020-02-02,8
2020-02-03,11
2020-02-04,11
2020-02-05,11
2020-02-06,11
2020-02-07,11
2020-02-08,11
2020-02-09,11
2020-02-10,11
2020-02-11,12
2020-02-12,12
2020-02-13,13
2020-02-14,13
2020-02-15,13
2020-02-16,13
2020-02-17,13
2020-02-18,13
2020-02-19,13
2020-02-20,13
2020-02-21,15
2020-02-22,15
2020-02-23,15
2020-02-24,51
2020-02-25,51
2020-02-26,57
2020-02-27,58
2020-02-28,60
2020-02-29,68
2020-03-01,74
2020-03-02,98
2020-03-03,118
2020-03-04,149
2020-03-05,217
2020-03-06,262
2020-03-07,402
2020-03-08,518
2020-03-09,583
2020-03-10,959
2020-03-11,1281
2020-03-12,1663
2020-03-13,2179
2020-03-14,2727
2020-03-15,3499
2020-03-16,4632
2020-03-17,6421
2020-03-18,7783
2020-03-19,13677
2020-03-20,19100
2020-03-21,25489
2020-03-22,33272
2020-03-23,NA
