"date","count"
2020-01-22,17
2020-01-23,18
2020-01-24,26
2020-01-25,42
2020-01-26,56
2020-01-27,82
2020-01-28,131
2020-01-29,133
2020-01-30,171
2020-01-31,213
2020-02-01,259
2020-02-02,361
2020-02-03,425
2020-02-04,491
2020-02-05,563
2020-02-06,633
2020-02-07,718
2020-02-08,805
2020-02-09,905
2020-02-10,1012
2020-02-11,1112
2020-02-12,1117
2020-02-13,1369
2020-02-14,1521
2020-02-15,1663
2020-02-16,1766
2020-02-17,1864
2020-02-18,2003
2020-02-19,2116
2020-02-20,2238
2020-02-21,2238
2020-02-22,2443
2020-02-23,2445
2020-02-24,2595
2020-02-25,2665
2020-02-26,2717
2020-02-27,2746
2020-02-28,2790
2020-02-29,2837
2020-03-01,2872
2020-03-02,2914
2020-03-03,2947
2020-03-04,2983
2020-03-05,3015
2020-03-06,3044
2020-03-07,3072
2020-03-08,3100
2020-03-09,3123
2020-03-10,3139
2020-03-11,3161
2020-03-12,3172
2020-03-13,3180
2020-03-14,3193
2020-03-15,3203
2020-03-16,3217
2020-03-17,3230
2020-03-18,3241
2020-03-19,3249
