"date","count","reporting"
2020-01-22,0,"Alberta"
2020-01-23,0,"Alberta"
2020-01-24,0,"Alberta"
2020-01-25,0,"Alberta"
2020-01-26,0,"Alberta"
2020-01-27,0,"Alberta"
2020-01-28,0,"Alberta"
2020-01-29,0,"Alberta"
2020-01-30,0,"Alberta"
2020-01-31,0,"Alberta"
2020-02-01,0,"Alberta"
2020-02-02,0,"Alberta"
2020-02-03,0,"Alberta"
2020-02-04,0,"Alberta"
2020-02-05,0,"Alberta"
2020-02-06,0,"Alberta"
2020-02-07,0,"Alberta"
2020-02-08,0,"Alberta"
2020-02-09,0,"Alberta"
2020-02-10,0,"Alberta"
2020-02-11,0,"Alberta"
2020-02-12,0,"Alberta"
2020-02-13,0,"Alberta"
2020-02-14,0,"Alberta"
2020-02-15,0,"Alberta"
2020-02-16,0,"Alberta"
2020-02-17,0,"Alberta"
2020-02-18,0,"Alberta"
2020-02-19,0,"Alberta"
2020-02-20,0,"Alberta"
2020-02-21,0,"Alberta"
2020-02-22,0,"Alberta"
2020-02-23,0,"Alberta"
2020-02-24,0,"Alberta"
2020-02-25,0,"Alberta"
2020-02-26,0,"Alberta"
2020-02-27,0,"Alberta"
2020-02-28,0,"Alberta"
2020-02-29,0,"Alberta"
2020-03-01,0,"Alberta"
2020-03-02,0,"Alberta"
2020-03-03,0,"Alberta"
2020-03-04,0,"Alberta"
2020-03-05,0,"Alberta"
2020-03-06,0,"Alberta"
2020-03-07,0,"Alberta"
2020-03-08,0,"Alberta"
2020-03-09,0,"Alberta"
2020-03-10,0,"Alberta"
2020-03-11,0,"Alberta"
2020-03-12,0,"Alberta"
2020-03-13,0,"Alberta"
2020-03-14,0,"Alberta"
2020-03-15,0,"Alberta"
2020-03-16,0,"Alberta"
2020-03-17,0,"Alberta"
2020-03-18,0,"Alberta"
2020-03-19,0,"Alberta"
2020-03-20,1,"Alberta"
2020-01-22,0,"British Columbia"
2020-01-23,0,"British Columbia"
2020-01-24,0,"British Columbia"
2020-01-25,0,"British Columbia"
2020-01-26,0,"British Columbia"
2020-01-27,0,"British Columbia"
2020-01-28,0,"British Columbia"
2020-01-29,0,"British Columbia"
2020-01-30,0,"British Columbia"
2020-01-31,0,"British Columbia"
2020-02-01,0,"British Columbia"
2020-02-02,0,"British Columbia"
2020-02-03,0,"British Columbia"
2020-02-04,0,"British Columbia"
2020-02-05,0,"British Columbia"
2020-02-06,0,"British Columbia"
2020-02-07,0,"British Columbia"
2020-02-08,0,"British Columbia"
2020-02-09,0,"British Columbia"
2020-02-10,0,"British Columbia"
2020-02-11,0,"British Columbia"
2020-02-12,0,"British Columbia"
2020-02-13,0,"British Columbia"
2020-02-14,0,"British Columbia"
2020-02-15,0,"British Columbia"
2020-02-16,0,"British Columbia"
2020-02-17,0,"British Columbia"
2020-02-18,0,"British Columbia"
2020-02-19,0,"British Columbia"
2020-02-20,0,"British Columbia"
2020-02-21,0,"British Columbia"
2020-02-22,0,"British Columbia"
2020-02-23,0,"British Columbia"
2020-02-24,0,"British Columbia"
2020-02-25,0,"British Columbia"
2020-02-26,0,"British Columbia"
2020-02-27,0,"British Columbia"
2020-02-28,0,"British Columbia"
2020-02-29,0,"British Columbia"
2020-03-01,0,"British Columbia"
2020-03-02,0,"British Columbia"
2020-03-03,0,"British Columbia"
2020-03-04,0,"British Columbia"
2020-03-05,0,"British Columbia"
2020-03-06,0,"British Columbia"
2020-03-07,0,"British Columbia"
2020-03-08,0,"British Columbia"
2020-03-09,1,"British Columbia"
2020-03-10,1,"British Columbia"
2020-03-11,1,"British Columbia"
2020-03-12,1,"British Columbia"
2020-03-13,1,"British Columbia"
2020-03-14,1,"British Columbia"
2020-03-15,1,"British Columbia"
2020-03-16,4,"British Columbia"
2020-03-17,4,"British Columbia"
2020-03-18,7,"British Columbia"
2020-03-19,7,"British Columbia"
2020-03-20,8,"British Columbia"
2020-01-22,0,"Grand Princess"
2020-01-23,0,"Grand Princess"
2020-01-24,0,"Grand Princess"
2020-01-25,0,"Grand Princess"
2020-01-26,0,"Grand Princess"
2020-01-27,0,"Grand Princess"
2020-01-28,0,"Grand Princess"
2020-01-29,0,"Grand Princess"
2020-01-30,0,"Grand Princess"
2020-01-31,0,"Grand Princess"
2020-02-01,0,"Grand Princess"
2020-02-02,0,"Grand Princess"
2020-02-03,0,"Grand Princess"
2020-02-04,0,"Grand Princess"
2020-02-05,0,"Grand Princess"
2020-02-06,0,"Grand Princess"
2020-02-07,0,"Grand Princess"
2020-02-08,0,"Grand Princess"
2020-02-09,0,"Grand Princess"
2020-02-10,0,"Grand Princess"
2020-02-11,0,"Grand Princess"
2020-02-12,0,"Grand Princess"
2020-02-13,0,"Grand Princess"
2020-02-14,0,"Grand Princess"
2020-02-15,0,"Grand Princess"
2020-02-16,0,"Grand Princess"
2020-02-17,0,"Grand Princess"
2020-02-18,0,"Grand Princess"
2020-02-19,0,"Grand Princess"
2020-02-20,0,"Grand Princess"
2020-02-21,0,"Grand Princess"
2020-02-22,0,"Grand Princess"
2020-02-23,0,"Grand Princess"
2020-02-24,0,"Grand Princess"
2020-02-25,0,"Grand Princess"
2020-02-26,0,"Grand Princess"
2020-02-27,0,"Grand Princess"
2020-02-28,0,"Grand Princess"
2020-02-29,0,"Grand Princess"
2020-03-01,0,"Grand Princess"
2020-03-02,0,"Grand Princess"
2020-03-03,0,"Grand Princess"
2020-03-04,0,"Grand Princess"
2020-03-05,0,"Grand Princess"
2020-03-06,0,"Grand Princess"
2020-03-07,0,"Grand Princess"
2020-03-08,0,"Grand Princess"
