"date","count","reporting"
2020-01-22,0,"Anhui"
2020-01-23,0,"Anhui"
2020-01-24,0,"Anhui"
2020-01-25,0,"Anhui"
2020-01-26,0,"Anhui"
2020-01-27,0,"Anhui"
2020-01-28,0,"Anhui"
2020-01-29,0,"Anhui"
2020-01-30,0,"Anhui"
2020-01-31,0,"Anhui"
2020-02-01,0,"Anhui"
2020-02-02,0,"Anhui"
2020-02-03,0,"Anhui"
2020-02-04,0,"Anhui"
2020-02-05,0,"Anhui"
2020-02-06,0,"Anhui"
2020-02-07,0,"Anhui"
2020-02-08,0,"Anhui"
2020-02-09,1,"Anhui"
2020-02-10,3,"Anhui"
2020-02-11,4,"Anhui"
2020-02-12,4,"Anhui"
2020-02-13,5,"Anhui"
2020-02-14,6,"Anhui"
2020-02-15,6,"Anhui"
2020-02-16,6,"Anhui"
2020-02-17,6,"Anhui"
2020-02-18,6,"Anhui"
2020-02-19,6,"Anhui"
2020-02-20,6,"Anhui"
2020-02-21,6,"Anhui"
2020-02-22,6,"Anhui"
2020-02-23,6,"Anhui"
2020-02-24,6,"Anhui"
2020-02-25,6,"Anhui"
2020-02-26,6,"Anhui"
2020-02-27,6,"Anhui"
2020-02-28,6,"Anhui"
2020-02-29,6,"Anhui"
2020-03-01,6,"Anhui"
2020-03-02,6,"Anhui"
2020-03-03,6,"Anhui"
2020-03-04,6,"Anhui"
2020-03-05,6,"Anhui"
2020-03-06,6,"Anhui"
2020-03-07,6,"Anhui"
2020-03-08,6,"Anhui"
2020-03-09,6,"Anhui"
2020-03-10,6,"Anhui"
2020-03-11,6,"Anhui"
2020-03-12,6,"Anhui"
2020-03-13,6,"Anhui"
2020-03-14,6,"Anhui"
2020-03-15,6,"Anhui"
2020-03-16,6,"Anhui"
2020-03-17,6,"Anhui"
2020-03-18,6,"Anhui"
2020-03-19,6,"Anhui"
2020-03-20,6,"Anhui"
2020-03-21,6,"Anhui"
2020-03-22,6,"Anhui"
2020-01-22,0,"Beijing"
2020-01-23,0,"Beijing"
2020-01-24,0,"Beijing"
2020-01-25,0,"Beijing"
2020-01-26,0,"Beijing"
2020-01-27,1,"Beijing"
2020-01-28,1,"Beijing"
2020-01-29,1,"Beijing"
2020-01-30,1,"Beijing"
2020-01-31,1,"Beijing"
2020-02-01,1,"Beijing"
2020-02-02,1,"Beijing"
2020-02-03,1,"Beijing"
2020-02-04,1,"Beijing"
2020-02-05,1,"Beijing"
2020-02-06,1,"Beijing"
2020-02-07,1,"Beijing"
2020-02-08,2,"Beijing"
2020-02-09,2,"Beijing"
2020-02-10,2,"Beijing"
2020-02-11,3,"Beijing"
2020-02-12,3,"Beijing"
2020-02-13,3,"Beijing"
2020-02-14,3,"Beijing"
2020-02-15,4,"Beijing"
2020-02-16,4,"Beijing"
2020-02-17,4,"Beijing"
2020-02-18,4,"Beijing"
2020-02-19,4,"Beijing"
2020-02-20,4,"Beijing"
2020-02-21,4,"Beijing"
2020-02-22,4,"Beijing"
