"date","count","reporting"
2020-01-22,0,"Diamond Princess"
2020-01-23,0,"Diamond Princess"
2020-01-24,0,"Diamond Princess"
2020-01-25,0,"Diamond Princess"
2020-01-26,0,"Diamond Princess"
2020-01-27,0,"Diamond Princess"
2020-01-28,0,"Diamond Princess"
2020-01-29,0,"Diamond Princess"
2020-01-30,0,"Diamond Princess"
2020-01-31,0,"Diamond Princess"
2020-02-01,0,"Diamond Princess"
2020-02-02,0,"Diamond Princess"
2020-02-03,0,"Diamond Princess"
2020-02-04,0,"Diamond Princess"
2020-02-05,0,"Diamond Princess"
2020-02-06,0,"Diamond Princess"
2020-02-07,0,"Diamond Princess"
2020-02-08,0,"Diamond Princess"
2020-02-09,0,"Diamond Princess"
2020-02-10,0,"Diamond Princess"
2020-02-11,0,"Diamond Princess"
2020-02-12,0,"Diamond Princess"
2020-02-13,0,"Diamond Princess"
2020-02-14,0,"Diamond Princess"
2020-02-15,0,"Diamond Princess"
2020-02-16,0,"Diamond Princess"
2020-02-17,0,"Diamond Princess"
2020-02-18,0,"Diamond Princess"
2020-02-19,0,"Diamond Princess"
2020-02-20,2,"Diamond Princess"
2020-02-21,2,"Diamond Princess"
2020-02-22,2,"Diamond Princess"
2020-02-23,3,"Diamond Princess"
2020-02-24,3,"Diamond Princess"
2020-02-25,3,"Diamond Princess"
2020-02-26,4,"Diamond Princess"
2020-02-27,4,"Diamond Princess"
2020-02-28,6,"Diamond Princess"
2020-02-29,6,"Diamond Princess"
2020-03-01,6,"Diamond Princess"
2020-03-02,6,"Diamond Princess"
2020-03-03,6,"Diamond Princess"
2020-03-04,6,"Diamond Princess"
2020-03-05,6,"Diamond Princess"
2020-03-06,6,"Diamond Princess"
2020-03-07,6,"Diamond Princess"
2020-03-08,6,"Diamond Princess"
2020-03-09,6,"Diamond Princess"
2020-03-10,6,"Diamond Princess"
2020-03-11,7,"Diamond Princess"
2020-03-12,7,"Diamond Princess"
2020-03-13,7,"Diamond Princess"
2020-03-14,7,"Diamond Princess"
2020-03-15,7,"Diamond Princess"
2020-03-16,7,"Diamond Princess"
2020-03-17,7,"Diamond Princess"
2020-03-18,7,"Diamond Princess"
2020-03-19,7,"Diamond Princess"
2020-03-20,7,"Diamond Princess"
2020-03-21,8,"Diamond Princess"
