"date","count"
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,2
2020-02-20,2
2020-02-21,4
2020-02-22,5
2020-02-23,8
2020-02-24,12
2020-02-25,16
2020-02-26,19
2020-02-27,26
2020-02-28,34
2020-02-29,43
2020-03-01,54
2020-03-02,66
2020-03-03,77
2020-03-04,92
2020-03-05,107
2020-03-06,124
2020-03-07,145
2020-03-08,194
2020-03-09,237
2020-03-10,291
2020-03-11,354
2020-03-12,429
2020-03-13,514
2020-03-14,611
2020-03-15,724
2020-03-16,853
2020-03-17,988
2020-03-18,1135
2020-03-19,1284
2020-03-20,1433
2020-03-21,1556
2020-03-22,1685
