"date","count","reporting"
2020-01-22,0,"Alabama"
2020-01-23,0,"Alabama"
2020-01-24,0,"Alabama"
2020-01-25,0,"Alabama"
2020-01-26,0,"Alabama"
2020-01-27,0,"Alabama"
2020-01-28,0,"Alabama"
2020-01-29,0,"Alabama"
2020-01-30,0,"Alabama"
2020-01-31,0,"Alabama"
2020-02-01,0,"Alabama"
2020-02-02,0,"Alabama"
2020-02-03,0,"Alabama"
2020-02-04,0,"Alabama"
2020-02-05,0,"Alabama"
2020-02-06,0,"Alabama"
2020-02-07,0,"Alabama"
2020-02-08,0,"Alabama"
2020-02-09,0,"Alabama"
2020-02-10,0,"Alabama"
2020-02-11,0,"Alabama"
2020-02-12,0,"Alabama"
2020-02-13,0,"Alabama"
2020-02-14,0,"Alabama"
2020-02-15,0,"Alabama"
2020-02-16,0,"Alabama"
2020-02-17,0,"Alabama"
2020-02-18,0,"Alabama"
2020-02-19,0,"Alabama"
2020-02-20,0,"Alabama"
2020-02-21,0,"Alabama"
2020-02-22,0,"Alabama"
2020-02-23,0,"Alabama"
2020-02-24,0,"Alabama"
2020-02-25,0,"Alabama"
2020-02-26,0,"Alabama"
2020-02-27,0,"Alabama"
2020-02-28,0,"Alabama"
2020-02-29,0,"Alabama"
2020-03-01,0,"Alabama"
2020-03-02,0,"Alabama"
2020-03-03,0,"Alabama"
2020-03-04,0,"Alabama"
2020-03-05,0,"Alabama"
2020-03-06,0,"Alabama"
2020-03-07,0,"Alabama"
2020-03-08,0,"Alabama"
2020-03-09,0,"Alabama"
2020-03-10,0,"Alabama"
2020-03-11,0,"Alabama"
2020-03-12,0,"Alabama"
2020-03-13,0,"Alabama"
2020-03-14,0,"Alabama"
2020-03-15,0,"Alabama"
2020-03-16,0,"Alabama"
2020-03-17,0,"Alabama"
2020-03-18,0,"Alabama"
2020-03-19,0,"Alabama"
2020-03-20,0,"Alabama"
2020-01-22,0,"Alaska"
2020-01-23,0,"Alaska"
2020-01-24,0,"Alaska"
2020-01-25,0,"Alaska"
2020-01-26,0,"Alaska"
2020-01-27,0,"Alaska"
2020-01-28,0,"Alaska"
2020-01-29,0,"Alaska"
2020-01-30,0,"Alaska"
2020-01-31,0,"Alaska"
2020-02-01,0,"Alaska"
2020-02-02,0,"Alaska"
2020-02-03,0,"Alaska"
2020-02-04,0,"Alaska"
2020-02-05,0,"Alaska"
2020-02-06,0,"Alaska"
2020-02-07,0,"Alaska"
2020-02-08,0,"Alaska"
2020-02-09,0,"Alaska"
2020-02-10,0,"Alaska"
2020-02-11,0,"Alaska"
2020-02-12,0,"Alaska"
2020-02-13,0,"Alaska"
2020-02-14,0,"Alaska"
2020-02-15,0,"Alaska"
2020-02-16,0,"Alaska"
2020-02-17,0,"Alaska"
2020-02-18,0,"Alaska"
2020-02-19,0,"Alaska"
2020-02-20,0,"Alaska"
2020-02-21,0,"Alaska"
2020-02-22,0,"Alaska"
2020-02-23,0,"Alaska"
2020-02-24,0,"Alaska"
2020-02-25,0,"Alaska"
2020-02-26,0,"Alaska"
2020-02-27,0,"Alaska"
2020-02-28,0,"Alaska"
2020-02-29,0,"Alaska"
2020-03-01,0,"Alaska"
2020-03-02,0,"Alaska"
2020-03-03,0,"Alaska"
2020-03-04,0,"Alaska"
2020-03-05,0,"Alaska"
2020-03-06,0,"Alaska"
2020-03-07,0,"Alaska"
2020-03-08,0,"Alaska"
2020-03-09,0,"Alaska"
2020-03-10,0,"Alaska"
2020-03-11,0,"Alaska"
2020-03-12,0,"Alaska"
2020-03-13,0,"Alaska"
2020-03-14,0,"Alaska"
2020-03-15,0,"Alaska"
2020-03-16,0,"Alaska"
2020-03-17,0,"Alaska"
2020-03-18,0,"Alaska"
2020-03-19,0,"Alaska"
2020-03-20,0,"Alaska"
2020-01-22,0,"Arizona"
2020-01-23,0,"Arizona"
2020-01-24,0,"Arizona"
2020-01-25,0,"Arizona"
2020-01-26,0,"Arizona"
2020-01-27,0,"Arizona"
2020-01-28,0,"Arizona"
2020-01-29,0,"Arizona"
2020-01-30,0,"Arizona"
2020-01-31,0,"Arizona"
2020-02-01,0,"Arizona"
2020-02-02,0,"Arizona"
2020-02-03,0,"Arizona"
2020-02-04,0,"Arizona"
2020-02-05,0,"Arizona"
2020-02-06,0,"Arizona"
2020-02-07,0,"Arizona"
2020-02-08,0,"Arizona"
2020-02-09,0,"Arizona"
2020-02-10,0,"Arizona"
2020-02-11,0,"Arizona"
2020-02-12,0,"Arizona"
2020-02-13,0,"Arizona"
2020-02-14,0,"Arizona"
2020-02-15,0,"Arizona"
2020-02-16,0,"Arizona"
2020-02-17,0,"Arizona"
2020-02-18,0,"Arizona"
2020-02-19,0,"Arizona"
2020-02-20,0,"Arizona"
2020-02-21,0,"Arizona"
2020-02-22,0,"Arizona"
2020-02-23,0,"Arizona"
2020-02-24,0,"Arizona"
2020-02-25,0,"Arizona"
2020-02-26,0,"Arizona"
2020-02-27,0,"Arizona"
2020-02-28,0,"Arizona"
2020-02-29,0,"Arizona"
2020-03-01,0,"Arizona"
2020-03-02,0,"Arizona"
2020-03-03,0,"Arizona"
2020-03-04,0,"Arizona"
2020-03-05,0,"Arizona"
2020-03-06,0,"Arizona"
2020-03-07,0,"Arizona"
2020-03-08,0,"Arizona"
2020-03-09,0,"Arizona"
2020-03-10,0,"Arizona"
2020-03-11,0,"Arizona"
2020-03-12,0,"Arizona"
2020-03-13,0,"Arizona"
2020-03-14,0,"Arizona"
2020-03-15,0,"Arizona"
2020-03-16,0,"Arizona"
2020-03-17,0,"Arizona"
2020-03-18,0,"Arizona"
2020-03-19,0,"Arizona"
2020-03-20,0,"Arizona"
2020-01-22,0,"Arkansas"
2020-01-23,0,"Arkansas"
2020-01-24,0,"Arkansas"
2020-01-25,0,"Arkansas"
2020-01-26,0,"Arkansas"
2020-01-27,0,"Arkansas"
2020-01-28,0,"Arkansas"
2020-01-29,0,"Arkansas"
2020-01-30,0,"Arkansas"
2020-01-31,0,"Arkansas"
2020-02-01,0,"Arkansas"
2020-02-02,0,"Arkansas"
2020-02-03,0,"Arkansas"
2020-02-04,0,"Arkansas"
2020-02-05,0,"Arkansas"
2020-02-06,0,"Arkansas"
2020-02-07,0,"Arkansas"
2020-02-08,0,"Arkansas"
2020-02-09,0,"Arkansas"
2020-02-10,0,"Arkansas"
2020-02-11,0,"Arkansas"
2020-02-12,0,"Arkansas"
2020-02-13,0,"Arkansas"
2020-02-14,0,"Arkansas"
2020-02-15,0,"Arkansas"
2020-02-16,0,"Arkansas"
