"date","count"
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,2
2020-01-31,2
2020-02-01,2
2020-02-02,2
2020-02-03,2
2020-02-04,2
2020-02-05,2
2020-02-06,2
2020-02-07,2
2020-02-08,2
2020-02-09,2
2020-02-10,2
2020-02-11,2
2020-02-12,2
2020-02-13,8
2020-02-14,8
2020-02-15,8
2020-02-16,8
2020-02-17,10
2020-02-18,10
2020-02-19,10
2020-02-20,10
2020-02-21,11
2020-02-22,11
2020-02-23,11
2020-02-24,11
2020-02-25,11
2020-02-26,11
2020-02-27,11
2020-02-28,11
2020-02-29,11
2020-03-01,11
2020-03-02,11
2020-03-03,11
2020-03-04,11
2020-03-05,21
2020-03-06,21
2020-03-07,21
2020-03-08,21
2020-03-09,21
2020-03-10,21
2020-03-11,21
2020-03-12,21
2020-03-13,23
2020-03-14,23
2020-03-15,23
2020-03-16,23
2020-03-17,23
2020-03-18,23
2020-03-19,26
2020-03-20,26
2020-03-21,26
