"date","count"
2020-01-22,28
2020-01-23,30
2020-01-24,36
2020-01-25,39
2020-01-26,49
2020-01-27,58
2020-01-28,101
2020-01-29,120
2020-01-30,135
2020-01-31,214
2020-02-01,275
2020-02-02,463
2020-02-03,614
2020-02-04,843
2020-02-05,1115
2020-02-06,1477
2020-02-07,1999
2020-02-08,2596
2020-02-09,3219
2020-02-10,3918
2020-02-11,4636
2020-02-12,5082
2020-02-13,6217
2020-02-14,7977
2020-02-15,9298
2020-02-16,10755
2020-02-17,12462
2020-02-18,14206
2020-02-19,15962
2020-02-20,18014
2020-02-21,18704
2020-02-22,22699
2020-02-23,23187
2020-02-24,25015
2020-02-25,27676
2020-02-26,30084
2020-02-27,32930
2020-02-28,36329
2020-02-29,39320
2020-03-01,42162
2020-03-02,44854
2020-03-03,47450
2020-03-04,50001
2020-03-05,52292
2020-03-06,53944
2020-03-07,55539
2020-03-08,57388
2020-03-09,58804
2020-03-10,60181
2020-03-11,61644
2020-03-12,62901
2020-03-13,64196
2020-03-14,65660
2020-03-15,67017
2020-03-16,67910
2020-03-17,68798
2020-03-18,69755
2020-03-19,70535
2020-03-20,71266
2020-03-21,71857
2020-03-22,72362
2020-03-23,72814
