"date","count","reporting"
2020-01-22,0,"Anhui"
2020-01-23,0,"Anhui"
2020-01-24,0,"Anhui"
2020-01-25,0,"Anhui"
2020-01-26,0,"Anhui"
2020-01-27,0,"Anhui"
2020-01-28,0,"Anhui"
2020-01-29,2,"Anhui"
2020-01-30,2,"Anhui"
2020-01-31,3,"Anhui"
2020-02-01,5,"Anhui"
2020-02-02,7,"Anhui"
2020-02-03,14,"Anhui"
2020-02-04,20,"Anhui"
2020-02-05,23,"Anhui"
2020-02-06,34,"Anhui"
2020-02-07,47,"Anhui"
2020-02-08,59,"Anhui"
2020-02-09,72,"Anhui"
2020-02-10,88,"Anhui"
2020-02-11,105,"Anhui"
2020-02-12,127,"Anhui"
2020-02-13,157,"Anhui"
2020-02-14,193,"Anhui"
2020-02-15,221,"Anhui"
2020-02-16,255,"Anhui"
2020-02-17,280,"Anhui"
2020-02-18,361,"Anhui"
2020-02-19,413,"Anhui"
2020-02-20,474,"Anhui"
2020-02-21,539,"Anhui"
2020-02-22,597,"Anhui"
2020-02-23,637,"Anhui"
2020-02-24,663,"Anhui"
2020-02-25,712,"Anhui"
2020-02-26,744,"Anhui"
2020-02-27,792,"Anhui"
2020-02-28,821,"Anhui"
2020-02-29,868,"Anhui"
2020-03-01,873,"Anhui"
2020-03-02,917,"Anhui"
2020-03-03,936,"Anhui"
2020-03-04,956,"Anhui"
2020-03-05,970,"Anhui"
2020-03-06,979,"Anhui"
2020-03-07,979,"Anhui"
2020-03-08,984,"Anhui"
2020-03-09,984,"Anhui"
2020-03-10,984,"Anhui"
2020-03-11,984,"Anhui"
2020-03-12,984,"Anhui"
2020-03-13,984,"Anhui"
2020-03-14,984,"Anhui"
2020-03-15,984,"Anhui"
2020-03-16,984,"Anhui"
2020-03-17,984,"Anhui"
2020-03-18,984,"Anhui"
2020-03-19,984,"Anhui"
2020-03-20,984,"Anhui"
2020-03-21,984,"Anhui"
2020-03-22,984,"Anhui"
2020-03-23,984,"Anhui"
2020-01-22,0,"Beijing"
2020-01-23,0,"Beijing"
2020-01-24,1,"Beijing"
2020-01-25,2,"Beijing"
2020-01-26,2,"Beijing"
2020-01-27,2,"Beijing"
2020-01-28,4,"Beijing"
2020-01-29,4,"Beijing"
2020-01-30,4,"Beijing"
2020-01-31,5,"Beijing"
2020-02-01,9,"Beijing"
2020-02-02,9,"Beijing"
2020-02-03,12,"Beijing"
2020-02-04,23,"Beijing"
2020-02-05,24,"Beijing"
2020-02-06,31,"Beijing"
2020-02-07,33,"Beijing"
2020-02-08,34,"Beijing"
2020-02-09,37,"Beijing"
2020-02-10,44,"Beijing"
2020-02-11,48,"Beijing"
2020-02-12,56,"Beijing"
2020-02-13,69,"Beijing"
2020-02-14,80,"Beijing"
2020-02-15,98,"Beijing"
2020-02-16,108,"Beijing"
2020-02-17,114,"Beijing"
2020-02-18,122,"Beijing"
2020-02-19,145,"Beijing"
2020-02-20,153,"Beijing"
2020-02-21,169,"Beijing"
