"date","count","reporting"
2020-01-22,0,"Diamond Princess"
2020-01-23,0,"Diamond Princess"
2020-01-24,0,"Diamond Princess"
2020-01-25,0,"Diamond Princess"
2020-01-26,0,"Diamond Princess"
2020-01-27,0,"Diamond Princess"
2020-01-28,0,"Diamond Princess"
2020-01-29,0,"Diamond Princess"
2020-01-30,0,"Diamond Princess"
2020-01-31,0,"Diamond Princess"
2020-02-01,0,"Diamond Princess"
2020-02-02,0,"Diamond Princess"
2020-02-03,0,"Diamond Princess"
2020-02-04,0,"Diamond Princess"
2020-02-05,0,"Diamond Princess"
2020-02-06,0,"Diamond Princess"
2020-02-07,0,"Diamond Princess"
2020-02-08,0,"Diamond Princess"
2020-02-09,0,"Diamond Princess"
2020-02-10,0,"Diamond Princess"
2020-02-11,0,"Diamond Princess"
2020-02-12,0,"Diamond Princess"
2020-02-13,0,"Diamond Princess"
2020-02-14,0,"Diamond Princess"
2020-02-15,0,"Diamond Princess"
2020-02-16,0,"Diamond Princess"
2020-02-17,0,"Diamond Princess"
2020-02-18,0,"Diamond Princess"
2020-02-19,1,"Diamond Princess"
2020-02-20,1,"Diamond Princess"
2020-02-21,1,"Diamond Princess"
2020-02-22,1,"Diamond Princess"
2020-02-23,0,"Diamond Princess"
2020-02-24,0,"Diamond Princess"
2020-02-25,0,"Diamond Princess"
2020-02-26,10,"Diamond Princess"
2020-02-27,10,"Diamond Princess"
2020-02-28,10,"Diamond Princess"
2020-02-29,10,"Diamond Princess"
2020-03-01,10,"Diamond Princess"
2020-03-02,10,"Diamond Princess"
2020-03-03,10,"Diamond Princess"
2020-03-04,10,"Diamond Princess"
2020-03-05,10,"Diamond Princess"
2020-03-06,40,"Diamond Princess"
2020-03-07,40,"Diamond Princess"
2020-03-08,40,"Diamond Princess"
2020-03-09,40,"Diamond Princess"
2020-03-10,40,"Diamond Princess"
2020-03-11,325,"Diamond Princess"
2020-03-12,325,"Diamond Princess"
2020-03-13,325,"Diamond Princess"
2020-03-14,325,"Diamond Princess"
2020-03-15,325,"Diamond Princess"
2020-03-16,325,"Diamond Princess"
2020-03-17,325,"Diamond Princess"
2020-03-18,325,"Diamond Princess"
2020-03-19,325,"Diamond Princess"
