"date","count"
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,1
2020-02-14,1
2020-02-15,1
2020-02-16,1
2020-02-17,1
2020-02-18,12
2020-02-19,12
2020-02-20,12
2020-02-21,14
2020-02-22,14
2020-02-23,14
2020-02-24,14
2020-02-25,14
2020-02-26,15
2020-02-27,16
2020-02-28,16
2020-02-29,16
2020-03-01,16
2020-03-02,16
2020-03-03,16
2020-03-04,16
2020-03-05,16
2020-03-06,17
2020-03-07,18
2020-03-08,18
2020-03-09,18
2020-03-10,18
2020-03-11,25
2020-03-12,25
2020-03-13,46
2020-03-14,46
2020-03-15,46
2020-03-16,67
2020-03-17,67
2020-03-18,105
2020-03-19,113
2020-03-20,180
2020-03-21,233
