"date","count"
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,1
2020-02-23,2
2020-02-24,1
2020-02-25,1
2020-02-26,3
2020-02-27,45
2020-02-28,46
2020-02-29,46
2020-03-01,83
2020-03-02,149
2020-03-03,160
2020-03-04,276
2020-03-05,414
2020-03-06,523
2020-03-07,589
2020-03-08,622
2020-03-09,724
2020-03-10,724
2020-03-11,1045
2020-03-12,1045
2020-03-13,1439
2020-03-14,1966
2020-03-15,2335
2020-03-16,2749
2020-03-17,2941
2020-03-18,4025
2020-03-19,4440
2020-03-20,4440
2020-03-21,6072
