"date","count"
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,2
2020-01-27,2
2020-01-28,5
2020-01-29,5
2020-01-30,5
2020-01-31,5
2020-02-01,5
2020-02-02,5
2020-02-03,5
2020-02-04,5
2020-02-05,5
2020-02-06,5
2020-02-07,5
2020-02-08,10
2020-02-09,10
2020-02-10,10
2020-02-11,10
2020-02-12,10
2020-02-13,12
2020-02-14,12
2020-02-15,12
2020-02-16,14
2020-02-17,15
2020-02-18,15
2020-02-19,15
2020-02-20,15
2020-02-21,17
2020-02-22,17
2020-02-23,21
2020-02-24,21
2020-02-25,22
2020-02-26,22
2020-02-27,22
2020-02-28,28
2020-02-29,28
2020-03-01,28
2020-03-02,31
2020-03-03,31
2020-03-04,31
2020-03-05,31
2020-03-06,31
2020-03-07,31
2020-03-08,31
2020-03-09,31
2020-03-10,33
2020-03-11,34
2020-03-12,34
2020-03-13,35
2020-03-14,35
2020-03-15,35
2020-03-16,35
2020-03-17,41
2020-03-18,42
2020-03-19,42
2020-03-20,42
2020-03-21,42
2020-03-22,44
