"date","count"
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,1
2020-02-13,1
2020-02-14,1
2020-02-15,3
2020-02-16,4
2020-02-17,4
2020-02-18,4
2020-02-19,4
2020-02-20,4
2020-02-21,4
2020-02-22,4
2020-02-23,4
2020-02-24,4
2020-02-25,4
2020-02-26,4
2020-02-27,4
2020-02-28,5
2020-02-29,5
2020-03-01,5
2020-03-02,5
2020-03-03,5
2020-03-04,5
2020-03-05,5
2020-03-06,5
2020-03-07,7
2020-03-08,7
2020-03-09,7
2020-03-10,12
2020-03-11,17
2020-03-12,17
2020-03-13,17
2020-03-14,17
2020-03-15,23
2020-03-16,23
2020-03-17,23
2020-03-18,26
2020-03-19,31
2020-03-20,31
2020-03-21,38
